Carbohydrates,Protein,Fat,Preservatives,Artificial_Sweeteners,Sugar,Adulterated,Food_Name
7.319227297036557,38.366220103734676,50.709442722143635,1.0910847611493368,1.6984915337964972,0.8155335821393035,Not Adulterated,Ice Cream
4.573576625348552,45.87681185880676,0.792665017261468,14.578934620671987,18.971409683024216,15.206602194887012,Adulterated,Honey
0.519775134862365,7.51893130489736,35.012849756446215,5.673878883495991,35.395215997501175,15.87934892279688,Adulterated,Yogurt
54.60860607385004,3.4167687184270656,9.291850286439171,1.9015066550033748,0.8743108119284144,29.90695745435194,Not Adulterated,Salad Dressing
63.03087859927127,24.255714900053288,4.101148347426496,2.4201280139584527,0.8278763556490756,5.364253783641422,Not Adulterated,Yogurt
8.15983211898643,10.875838884507125,1.6570534061757975,2.8642759960846598,19.39872424065041,57.044275353595594,Adulterated,Coffee
35.27021170471104,7.393926788148895,24.31455276668636,4.792749015869786,0.09208010497837442,28.136479619605538,Not Adulterated,Juice
1.9328765955985305,13.411460958976198,3.7301824318855488,3.378649950788896,26.5502438097729,50.99658625297793,Adulterated,Pasta Sauce
11.512157815711022,29.475610737652346,52.91962028425941,1.6120528898653204,0.42140698393163906,4.059151288580272,Not Adulterated,Salad Dressing
17.212760819281677,41.87332414005064,7.303032704268772,2.4626538374849014,0.07363648037203402,31.07459201854197,Not Adulterated,Sauce
11.57509453895072,10.30063816742002,29.37217996990314,0.6797096082854659,0.11905252738184546,47.95332518805881,Not Adulterated,Butter
43.89706617544184,26.11140904466327,17.719291158209273,1.9915422338358728,1.5982450567053548,8.682446331144398,Not Adulterated,Soda
4.284540134667398,29.47409036408239,43.367803822150115,0.7339821075632352,1.6868269479905231,20.452756623546335,Not Adulterated,Soda
11.020451930869474,11.43319874526518,28.448849235685795,3.02805621891734,1.577493696686257,44.491950172575955,Not Adulterated,Cereal
10.750765143266856,34.7962204703723,22.955434706955742,2.876230652102726,1.9191540045237445,26.70219502277864,Not Adulterated,Peanut Butter
35.40074991045503,1.6193968564555548,1.4083811364913208,23.453400644053602,23.59577797951075,14.522293473033754,Adulterated,Peanut Butter
33.5488604683914,5.296318123906238,43.869413203265246,3.326878579155919,0.06663740533285802,13.891892219948332,Not Adulterated,Peanut Butter
7.222520603248619,26.347952539745222,22.475850535317367,14.595751042368818,12.08549807440544,17.272427204914532,Adulterated,Bread
14.992174890898996,12.263104826080639,56.017965347684004,0.21527028744681098,1.2378909948245405,15.273593653065006,Not Adulterated,Cheese
25.451523436841978,2.288933256310915,10.765476349295854,56.33229458848036,1.9881650596497977,3.1736073094210906,Adulterated,Cereal
23.89551477578325,40.02233411935027,16.02192026984712,4.255838826609985,1.6281378457940472,14.176254162615326,Not Adulterated,Cheese
1.898475797926617,31.206546153290372,0.21418601718838018,29.884179287908214,16.42537000180803,20.371242741878387,Adulterated,Granola Bars
0.4621654060182741,18.954047629764517,4.550904528191874,1.7659284558839832,0.09345596575329565,74.17349801438806,Not Adulterated,Chips
12.380618644203832,40.04809539489898,10.71466298453035,0.9274494479208167,0.9099535053571006,35.019220023088934,Not Adulterated,Honey
14.66545381512111,26.111777180143882,3.6185336876108307,48.59188091238549,3.4949595640248172,3.5173948407138953,Adulterated,Pasta Sauce
3.046430772669594,48.67722718806336,13.089596444767334,2.0656750534142336,0.8262072626164009,32.29486327846908,Not Adulterated,Tea
27.372857586205857,7.585122967481979,8.147148488081255,2.90787399161999,0.19199104756767324,53.79500591904326,Not Adulterated,Jam
8.302100335159796,9.787918695390278,28.04921790697558,19.430600526234144,20.862308580437727,13.56785395580247,Adulterated,Granola Bars
